leftDeltaDistance,rightDeltaDistance,leftSpeed,rightSpeed,time,P,I,D
1,62.4,10,50,62.398669,337.601331,462.398669,0
2,114.4,10,50,114.396228,285.603772,514.396228,0
3,46.8,10,50,46.79523,353.20477,446.79523,0
4,75.4,10,50,75.393621,324.606379,475.393621,0
5,36.4,10,50,36.392845,363.607155,436.392845,0
6,91,10,50,90.990903,309.009097,490.990903,0
7,46.8,10,50,46.789905,353.210095,446.789905,0
8,106.6,10,50,106.587631,293.412369,506.587631,0
9,65,10,50,64.986244,335.013756,464.986244,0
10,88.4,10,50,88.384358,311.615642,488.384358,0
11,182,10,50,181.980476,218.019524,581.980476,0
12,241.8,10,50,241.775317,-241.775317,241.775317,0
13,278.2,10,50,278.169382,-278.169382,278.169382,0
14,244.4,10,50,244.364169,-244.364169,244.364169,0
15,215.8,10,50,215.759565,-215.759565,215.759565,0
16,85.8,10,50,85.757734,314.242266,485.757734,0
17,228.8,10,50,228.752853,-228.752853,228.752853,0
18,247,10,50,246.947584,-246.947584,246.947584,0
19,275.6,10,50,275.541705,-275.541705,275.541705,0
20,317.2,10,50,317.134938,-317.134938,317.134938,0
21,314.6,10,50,314.528226,-314.528226,314.528226,0
22,452.4,10,50,452.318575,-452.318575,452.318575,0
23,374.4,10,50,374.310588,-374.310588,374.310588,0
24,296.4,10,50,296.304265,-296.304265,296.304265,0
25,280.8,10,50,280.698274,-280.698274,280.698274,0
26,351,10,50,350.890786,-350.890786,350.890786,0
27,400.4,10,50,400.282244,-400.282244,400.282244,0
28,343.2,10,50,343.074923,-343.074923,343.074923,0
29,395.2,10,50,395.066492,-395.066492,395.066492,0
30,218.4,10,50,218.261833,-218.261833,218.261833,0
31,330.2,10,50,330.054788,-330.054788,330.054788,0
32,304.2,10,50,304.048299,-304.048299,304.048299,0
33,215.8,10,50,215.643695,-215.643695,215.643695,0
34,262.6,10,50,262.438093,-262.438093,262.438093,0
35,187.2,10,50,187.034099,212.965901,587.034099,0
36,231.4,10,50,231.229163,-231.229163,231.229163,0
37,184.6,10,50,184.425225,215.574775,584.425225,0
38,200.2,10,50,200.020954,199.979046,600.020954,0
39,163.8,10,50,163.617459,236.382541,563.617459,0
40,273,10,50,272.811635,-272.811635,272.811635,0
41,249.6,10,50,249.40631,-249.40631,249.40631,0
42,270.4,10,50,270.200542,-270.200542,270.200542,0
43,221,10,50,220.795827,-220.795827,220.795827,0
44,153.4,10,50,153.192555,246.807445,553.192555,0
45,197.6,10,50,197.388339,202.611661,597.388339,0
46,156,10,50,155.785011,244.214989,555.785011,0
47,169,10,50,168.781406,231.218594,568.781406,0
48,205.4,10,50,205.177024,-205.177024,205.177024,0
49,205.4,10,50,205.172642,-205.172642,205.172642,0
50,127.4,10,50,127.169924,272.830076,527.169924,0
51,153.4,10,50,153.166652,246.833348,553.166652,0
52,98.8,10,50,98.564544,301.435456,498.564544,0
53,78,10,50,77.76288,322.23712,477.76288,0
54,33.8,10,50,33.562159,366.437841,433.562159,0
55,83.2,10,50,82.960384,317.039616,482.960384,0
56,75.4,10,50,75.158775,324.841225,475.158775,0
57,85.8,10,50,85.556945,314.443055,485.556945,0
58,75.4,10,50,75.155337,324.844663,475.155337,0
59,18.2,10,50,17.954948,382.045052,417.954948,0
60,72.8,10,50,72.553395,327.446605,472.553395,0
61,130,10,50,129.750622,270.249378,529.750622,0
62,93.6,10,50,93.348625,306.651375,493.348625,0
63,96.2,10,50,95.946573,304.053427,495.946573,0
64,109.2,10,50,108.944243,291.055757,508.944243,0
65,65,10,50,64.742857,335.257143,464.742857,0
66,93.6,10,50,93.34086,306.65914,493.34086,0
67,132.6,10,50,132.338031,267.661969,532.338031,0
68,208,10,50,207.733594,-207.733594,207.733594,0
69,88.4,10,50,88.131708,311.868292,488.131708,0
70,96.2,10,50,95.929655,304.070345,495.929655,0
71,72.8,10,50,72.528102,327.471898,472.528102,0
72,54.6,10,50,54.326938,345.673062,454.326938,0
73,85.8,10,50,85.525107,314.474893,485.525107,0
74,28.6,10,50,28.324497,371.675503,428.324497,0
75,83.2,10,50,82.922722,317.077278,482.922722,0
76,85.8,10,50,85.520892,314.479108,485.520892,0
77,41.6,10,50,41.320004,358.679996,441.320004,0
78,85.8,10,50,85.518174,314.481826,485.518174,0
79,72.8,10,50,72.516621,327.483379,472.516621,0
80,41.6,10,50,41.315733,358.684267,441.315733,0
81,67.6,10,50,67.314291,332.685709,467.314291,0
82,65,10,50,64.712905,335.287095,464.712905,0
83,31.2,10,50,30.912239,369.087761,430.912239,0
84,101.4,10,50,101.110076,298.889924,501.110076,0
85,85.8,10,50,85.508245,314.491755,485.508245,0
86,145.6,10,50,145.305139,254.694861,545.305139,0
87,75.4,10,50,75.103531,324.896469,475.103531,0
88,137.8,10,50,137.500591,262.499409,537.500591,0
89,59.8,10,50,59.499315,340.500685,459.499315,0
90,-7.8,10,50,-8.100518,408.100518,391.899482,0
91,78,10,50,77.697818,322.302182,477.697818,0
92,101.4,10,50,101.095654,298.904346,501.095654,0
93,111.8,10,50,111.493269,288.506731,511.493269,0
94,78,10,50,77.691605,322.308395,477.691605,0
95,93.6,10,50,93.289609,306.710391,493.289609,0
96,106.6,10,50,106.287334,293.712666,506.287334,0
97,106.6,10,50,106.28506,293.71494,506.28506,0
98,28.6,10,50,28.28445,371.71555,428.28445,0
99,72.8,10,50,72.482897,327.517103,472.482897,0
100,91,10,50,90.680956,309.319044,490.680956,0
