line,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,
0,216,232,224,224,224,224,232,224,224,232,232,224,224,232,224,224,224,232,232,224,224,232,224,232,224,232,232,232,232,232,224,232,232,232,232,232,232,240,232,232,232,232,232,232,232,240,240,240,232,232,232,240,232,240,232,232,240,240,232,240,240,240,232,240,232,232,240,240,232,240,240,240,240,232,240,232,240,240,232,240,232,232,240,240,240,232,240,232,232,232,240,240,232,240,240,240,240,232,232,240,232,232,224,224,216,224,200,208,208,216,200,200,200,200,192,192,184,176,168,184,80,80,72,56,56,48,40,48,40,40,40,32,40,32,40,40,40,32,32,32,40,48,40,48,48,56,48,48,56,56,56,48,56,64,64,64,64,64,64,64,
1,216,224,232,224,224,232,224,224,224,232,232,224,224,224,224,224,224,224,224,224,224,232,232,224,224,232,232,232,232,232,232,232,232,240,232,240,232,232,232,232,232,240,240,232,232,240,232,232,232,232,232,240,232,240,240,240,232,232,232,240,240,232,240,232,240,240,240,232,240,240,240,240,232,232,232,240,240,240,240,232,240,240,240,240,240,240,232,240,240,232,240,232,232,240,232,240,240,240,240,240,240,232,232,240,232,224,224,224,216,216,208,200,200,208,192,192,192,184,184,168,152,88,64,64,56,40,48,48,40,40,40,40,40,48,40,32,32,32,40,48,48,48,48,48,48,56,56,56,56,56,56,64,64,72,64,56,64,64,64,64,
2,224,224,224,224,224,232,232,232,224,232,232,224,224,232,224,224,224,232,224,224,232,232,232,232,232,232,232,232,232,224,232,232,232,240,232,232,240,232,232,232,232,240,232,232,232,232,232,232,240,240,232,232,240,232,232,240,240,240,240,232,240,232,240,240,232,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,232,240,240,232,240,232,240,240,232,240,240,240,232,232,240,240,240,240,232,240,232,232,224,224,224,208,216,216,216,200,200,200,200,200,184,184,176,104,80,64,56,48,40,40,48,40,40,48,40,40,40,40,40,48,56,56,56,56,64,56,56,56,64,56,64,64,64,64,72,64,72,64,64,56,64,56,
3,224,224,224,224,232,224,224,232,224,224,224,224,232,224,232,224,232,224,224,232,232,232,232,232,232,232,232,232,240,232,232,232,224,232,232,232,232,240,240,232,240,232,240,232,240,232,240,240,240,232,232,232,232,240,232,240,240,232,240,232,232,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,232,240,240,240,240,232,232,240,240,240,240,240,240,232,232,240,240,232,232,232,224,216,224,216,216,208,200,200,208,192,192,192,176,168,96,56,56,48,48,48,48,56,48,48,32,48,64,64,64,56,64,64,64,64,64,64,64,64,64,64,64,72,64,64,72,64,72,56,64,72,56,56,
4,216,224,232,224,224,232,224,224,224,224,224,224,224,224,232,232,232,232,232,224,224,224,232,224,232,232,224,224,232,232,232,240,232,240,232,232,232,232,232,232,232,240,240,232,240,240,240,240,232,240,240,240,240,240,232,240,240,240,240,240,240,240,240,232,232,240,240,240,240,240,240,232,232,232,232,240,240,240,240,240,240,240,240,240,232,232,240,240,240,240,232,240,240,240,240,240,240,240,232,240,240,240,232,240,240,240,240,232,224,224,216,216,216,216,208,208,200,200,192,192,184,184,152,136,80,64,56,48,56,48,96,96,120,112,64,64,64,64,72,64,64,64,72,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,56,56,
5,216,224,224,232,232,232,232,224,232,224,224,224,232,232,224,232,232,232,224,224,224,232,232,232,240,232,232,232,232,232,224,232,240,232,232,232,232,232,232,232,232,232,240,240,232,240,240,240,240,232,232,240,240,240,232,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,232,232,240,240,240,240,240,240,240,240,240,240,240,232,240,240,232,240,232,232,240,240,240,240,240,240,240,240,240,232,240,232,240,232,232,232,232,216,216,224,216,216,208,208,200,192,184,184,184,176,184,168,168,144,136,144,160,160,152,152,128,72,72,64,72,72,72,72,72,72,72,64,64,64,72,64,64,72,72,72,72,64,64,64,64,48,
6,224,224,224,224,224,224,224,232,224,224,232,232,224,224,232,224,232,224,232,224,232,232,232,232,232,232,224,232,232,240,232,232,232,232,232,240,232,232,232,232,232,232,240,240,232,232,240,240,232,232,240,232,240,240,232,240,240,232,240,232,240,232,240,240,240,240,232,240,240,240,232,240,240,240,240,240,240,240,232,240,232,240,240,240,240,240,240,240,240,232,240,240,240,232,232,240,232,240,240,240,232,240,240,240,240,240,240,232,232,232,232,224,216,216,224,216,208,208,208,208,200,192,192,184,184,176,184,168,168,168,160,160,160,160,152,120,88,80,80,72,80,80,72,72,72,72,64,72,64,64,64,64,72,64,72,64,64,64,56,48,
7,232,224,224,224,232,224,224,232,224,224,224,232,224,232,232,224,224,224,232,240,232,232,224,232,224,224,232,232,240,232,232,232,232,232,240,232,232,232,232,232,232,232,240,240,232,232,240,240,232,232,240,240,232,240,240,232,232,240,232,232,232,232,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,232,240,240,240,232,232,240,240,240,232,240,240,240,240,232,240,240,232,240,240,240,240,224,232,224,216,216,216,208,200,200,208,200,200,184,184,184,184,184,184,168,176,168,160,152,152,136,88,88,88,80,80,80,80,80,80,72,72,72,64,72,72,64,72,72,72,64,72,64,56,48,
8,224,232,224,224,224,224,224,232,224,224,232,224,224,224,232,224,224,232,224,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,240,232,232,232,232,232,240,232,232,240,232,240,232,240,240,232,240,240,232,232,240,232,240,240,240,232,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,232,240,232,240,240,240,240,240,240,232,232,216,224,216,216,208,216,208,200,192,200,184,184,184,184,176,168,168,176,160,168,152,168,112,96,88,88,80,72,80,80,80,80,72,72,72,72,72,64,72,72,64,72,56,64,48,48,
9,224,224,232,224,224,224,224,224,232,232,232,232,232,232,240,224,224,224,232,224,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,240,240,232,232,240,232,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,232,240,240,240,240,240,240,240,240,240,240,240,240,232,232,240,240,240,240,240,240,240,240,240,240,240,240,224,232,224,216,216,208,216,216,200,200,200,192,192,176,176,184,184,176,168,160,160,152,152,104,96,88,88,88,80,80,80,72,72,80,72,72,72,72,72,72,64,64,72,56,56,48,48,
